URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.fishbowlinventory.com/,32.28,1111,6685,0,72,138,47,54,1,2240,281,4480,3467,0,-2547
https://help.fishbowlinventory.com/drive/s/article/Drive-Item-Barcode-One-Off-Report,4.82,1,1000,0,0,1,0,1,0,0,1000,0,1000,0,182
https://www.fishbowlinventory.com/blog/from-raw-materials-to-finished-products-managing-inventory-with-manufacturing-software,3.72,103,772,0,8,71,0,19,0,10,762,0,427,0,82
https://www.fishbowlinventory.com/blog/e-commerce-inventory-management-techniques-and-software,3.54,128,733,0,37,56,1,8,0,270,549,0,13,0,340
https://www.fishbowlinventory.com/pricing,2.15,16,446,0,3,3,1,5,0,59,67,52,303,0,22
https://help.fishbowlinventory.com/s/Download-Fishbowl-Advanced,2.08,15,432,0,0,5,4,7,0,0,126,306,427,0,32
https://www.fishbowlinventory.com/warehouse-management,2.05,123,426,0,37,45,4,10,0,171,131,145,72,0,24
https://www.fishbowlinventory.com/blog/understanding-lot-and-serial-numbers-when-tracking-products,1.61,52,335,0,1,31,0,0,0,0,335,0,0,0,268
https://www.fishbowlinventory.com/blog/assembly-line,1.59,152,330,0,1,106,2,4,0,0,330,0,0,0,200
https://www.fishbowlinventory.com/blog/11-common-types-of-dunnage-and-their-benefits,1.55,29,321,0,3,19,0,6,0,3,321,0,0,0,310
https://www.fishbowlinventory.com/blog/manufacturing-technology-in-action-8-real-world-examples,1.55,90,321,0,1,53,1,0,1,2,319,0,0,0,103
https://www.fishbowlinventory.com/blog/inventory-list,1.39,173,289,0,6,142,0,6,0,9,278,0,9,0,35
https://www.fishbowlinventory.com/blog/warehouse-picking-and-packing-everything-you-need-to-know,1.37,84,284,0,12,55,0,2,0,60,282,0,1,0,104
https://www.fishbowlinventory.com/blog/what-is-markup-percentage,1.08,272,224,0,5,146,0,11,0,12,218,0,5,0,-170
https://www.fishbowlinventory.com/blog/10-generic-foods-taste-better-than-name-brands,1.03,28,214,0,2,12,0,0,0,2,213,0,0,0,160
https://www.fishbowlinventory.com/blog/inventory-cycle-count-key-steps-and-best-practices,0.89,81,185,0,5,50,0,1,0,4,181,0,0,0,-36
https://www.fishbowlinventory.com/blog/days-sales-in-inventory-101-an-introductory-guide,0.86,106,180,0,1,61,1,13,0,0,166,0,16,0,152
https://www.fishbowlinventory.com/blog/quickbooks-inventory-management,0.84,284,176,0,53,194,7,60,2,64,152,1,48,0,-141
https://www.fishbowlinventory.com/blog/economic-order-quantity-eoq-basics-benefits-and-tips,0.78,81,162,0,0,50,0,2,0,0,159,0,9,0,85
https://www.fishbowlinventory.com/blog/process-costing,0.77,42,161,0,1,31,0,0,0,0,161,0,0,0,55
https://www.fishbowlinventory.com/inventory-control,0.72,68,151,0,11,35,0,0,0,6,146,0,0,0,-74
https://help.fishbowlinventory.com/advanced/s/article/Release-Notes,0.72,14,150,0,0,5,3,8,0,0,79,71,150,0,6
https://www.fishbowlinventory.com/blog/how-to-calculate-ending-inventory,0.65,116,135,0,0,93,0,1,0,0,135,0,0,0,23
https://www.fishbowlinventory.com/integrations/quickbooks,0.57,14,119,0,1,6,1,5,1,0,119,0,117,0,31
https://help.fishbowlinventory.com/advanced/s/article/Install-Fishbowl,0.55,23,115,0,0,7,5,10,0,0,80,35,106,0,1
https://portal.fishbowlinventory.com/s/login?ec=302&startURL=%2Fs%2F,0.53,8,111,0,0,0,4,4,0,0,0,111,111,0,19
https://www.fishbowlinventory.com/blog/cost-of-sales,0.52,44,109,0,1,24,0,2,0,1,106,0,2,0,30
https://www.fishbowlinventory.com/blog/shipping-label,0.44,61,93,0,7,18,1,0,0,3,92,0,0,0,75
https://help.fishbowlinventory.com/advanced/s/article/Support,0.44,19,92,0,0,3,5,3,0,0,18,74,72,0,-31
https://www.fishbowlinventory.com/blog/27-inventory-management-terms-and-definitions-you-must-know,0.42,147,89,0,3,50,0,0,0,2,88,0,0,0,1
https://www.fishbowlinventory.com/blog/the-role-of-inventory-turnover-ratio-in-financial-health,0.38,252,80,0,3,91,0,0,0,0,58,0,0,0,-6
https://www.fishbowlinventory.com/blog/inventory-management-techniques,0.37,39,78,0,1,23,1,0,0,2,78,0,0,0,23
https://www.fishbowlinventory.com/blog/18-production-planning-kpis-that-will-drive-business-success,0.35,61,74,0,4,38,0,0,0,4,74,0,0,0,5
https://www.fishbowlinventory.com/manufacturing,0.34,17,72,0,0,2,3,3,0,0,0,72,0,0,45
https://www.fishbowlinventory.com/inventory,0.34,52,71,0,11,18,1,5,0,3,44,24,24,0,-54
https://www.fishbowlinventory.com/blog/how-to-contact-fishbowl-support,0.33,4,70,0,0,2,1,1,0,0,68,2,2,0,57
https://www.fishbowlinventory.com/blog/what-are-finished-goods,0.33,61,70,0,1,40,0,0,0,1,69,0,0,0,10
https://www.fishbowlinventory.com/blog/how-is-inventory-management-different-from-materials-management,0.31,45,65,0,0,22,0,1,0,0,63,0,3,0,-20
https://www.fishbowlinventory.com/blog/dealership-inventory-management,0.3,37,64,0,9,17,0,1,0,11,56,0,0,0,46
https://help.fishbowlinventory.com/advanced/s/article/Documentation,0.3,14,64,0,0,4,2,2,0,0,42,22,22,0,15
https://www.fishbowlinventory.com/blog/inventory-database,0.28,12,59,0,0,8,0,3,0,0,59,0,45,0,21
https://www.fishbowlinventory.com/blog/standard-costing,0.27,54,57,0,0,32,0,1,0,0,45,0,11,0,6
https://www.fishbowlinventory.com/blog/how-ai-is-transforming-warehouse-management,0.26,24,54,0,1,16,0,2,0,1,54,0,0,0,1
https://www.fishbowlinventory.com/blog/can-cloud-computing-manage-inventory-and-shipping,0.25,32,53,0,1,13,0,1,0,0,53,0,0,0,37
https://www.fishbowlinventory.com/blog/6-essential-types-of-manufacturing-processes,0.25,96,53,0,3,48,0,4,0,0,53,0,2,0,16
https://www.fishbowlinventory.com/blog/inventory-liquidation,0.25,25,53,0,1,9,0,0,0,0,53,0,0,0,36
https://help.fishbowlinventory.com/s/,0.25,15,52,0,0,4,2,2,0,0,51,1,1,0,2
https://help.fishbowlinventory.com/advanced/s/article/Update-Fishbowl,0.24,16,51,0,0,6,6,12,0,0,50,1,51,0,5
https://www.fishbowlinventory.com/blog/9-packaging-strategies-that-will-enhance-your-brand,0.21,26,45,0,0,16,0,1,0,0,45,0,11,0,15
https://www.fishbowlinventory.com/blog/8-common-costing-methods-for-manufacturers,0.21,53,45,0,4,34,1,2,0,2,43,0,0,0,-33
https://www.fishbowlinventory.com/blog/the-10-critical-steps-in-the-accounting-cycle,0.21,124,45,0,1,60,0,1,0,0,45,0,0,0,29
https://www.fishbowlinventory.com/blog/how-to-account-for-damaged-inventory,0.2,30,43,0,0,15,1,2,0,0,43,0,0,0,18
https://www.fishbowlinventory.com/blog/stock-replenishment,0.2,56,42,0,1,43,0,0,0,0,42,0,0,0,-18
https://www.fishbowlinventory.com/blog/purchase-order-process-7-step-guide,0.19,47,40,0,1,20,0,2,0,0,39,0,0,0,6
https://www.fishbowlinventory.com/blog/flexible-manufacturing-system,0.19,40,40,0,0,34,2,5,0,0,40,7,7,0,-12
https://www.fishbowlinventory.com/blog/manufacturing-mro,0.18,17,38,0,1,11,0,0,0,1,37,0,0,0,26
https://www.fishbowlinventory.com/blog/job-shop-manufacturing,0.17,31,37,0,22,19,2,1,0,37,15,0,0,0,-3
https://www.fishbowlinventory.com/blog/calculating-the-safety-stock-formula-6-variations-key-use-cases,0.17,62,36,0,4,28,0,1,0,12,33,0,0,0,1
https://www.fishbowlinventory.com/fishbowl-time,0.16,3,35,0,0,0,2,1,0,0,0,35,1,0,1
https://www.fishbowlinventory.com/blog/ebay-inventory-management-software,0.16,18,34,0,4,4,0,0,0,2,32,0,0,0,22
https://www.fishbowlinventory.com/blog/how-to-implement-an-effective-manufacturing-execution-system,0.16,105,34,0,4,55,1,0,0,1,32,0,0,0,-39
https://www.fishbowlinventory.com/blog/landed-cost,0.15,33,33,0,0,19,0,1,0,0,32,0,0,0,1
https://www.fishbowlinventory.com/blog/laboratory-inventory-management,0.15,16,32,0,4,5,0,0,0,14,29,0,0,0,5
https://www.fishbowlinventory.com/blog/what-is-a-distribution-center-benefits-drawbacks-and-more,0.14,70,30,0,33,16,8,1,0,8,15,0,0,0,-43
https://www.fishbowlinventory.com/blog/small-business-barcode-inventory-system,0.12,85,26,0,13,17,0,2,0,17,21,0,1,0,12
https://www.fishbowlinventory.com/blog/inventory-asset,0.12,17,26,0,1,11,0,0,0,0,26,0,0,0,14
https://www.fishbowlinventory.com/blog/how-to-calculate-lead-time,0.12,26,26,0,2,17,0,0,0,0,26,0,0,0,-142
https://www.fishbowlinventory.com/blog/pharmacy-inventory-management,0.12,22,25,0,1,4,0,0,0,0,25,0,0,0,-1
https://www.fishbowlinventory.com/blog/discrete-manufacturing-what-it-is-and-how-it-compares-to-process-manufacturing,0.12,29,25,0,3,10,0,0,0,2,23,0,0,0,11
https://www.fishbowlinventory.com/purchasing,0.11,21,24,0,2,0,0,6,0,21,0,0,3,0,-5
https://help.fishbowlinventory.com/advanced/s/article/Getting-Started,0.11,15,23,0,0,3,4,7,0,0,10,13,23,0,14
https://www.fishbowlinventory.com/blog/erp-inventory-management,0.1,42,22,0,1,31,0,0,0,0,22,0,0,0,12
https://www.fishbowlinventory.com/blog/reorder-point-calculator,0.1,36,21,0,5,19,0,0,0,6,18,0,0,0,-1
https://help.fishbowlinventory.com/advanced/s/article/Fishbowl-Advanced-Mobile,0.1,21,21,0,0,7,2,5,0,0,21,0,0,0,-6
https://www.fishbowlinventory.com/blog/product-sourcing,0.1,25,21,0,2,16,0,0,0,4,20,0,0,0,16
https://www.fishbowlinventory.com/blog/demand-forecasting-101-benefits-and-key-processes,0.09,52,20,0,7,21,0,0,0,1,20,0,0,0,12
https://help.fishbowlinventory.com/advanced/s/,0.09,4,20,0,0,2,2,2,0,0,18,2,2,0,20
https://www.fishbowlinventory.com/blog/lifo-inventory-method,0.09,80,19,0,1,48,0,1,0,1,19,0,0,0,-13
https://www.fishbowlinventory.com/blog/maximizing-efficiency-during-your-physical-inventory-count,0.09,39,19,0,6,25,0,0,0,4,15,0,0,0,1
https://help.fishbowlinventory.com/login?locale=us,0.08,4,18,0,0,0,2,2,0,0,0,18,18,0,0
https://www.fishbowlinventory.com/blog/mrp-software,0.08,19,18,0,1,3,1,0,0,0,17,0,0,0,8
https://www.fishbowlinventory.com/blog/how-fishbowl-compares-to-netsuite,0.08,2,18,0,2,0,0,0,0,18,0,0,0,0,5
https://www.fishbowlinventory.com/blog/stocktake,0.08,32,18,0,1,19,0,0,0,0,18,0,0,0,-12
https://help.fishbowlinventory.com/advanced/s/article/Fishbowl-Time,0.08,5,17,0,0,0,3,1,0,0,0,17,1,0,1
https://www.fishbowlinventory.com/blog/what-is-an-inventory-scanning-system,0.07,10,16,0,0,4,0,3,0,0,16,0,15,0,-1
