URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.sortly.com/,69.62,3588,43448,19,537,1059,17,252,1,10209,27146,11304,7109,17,8601
https://www.sortly.com/industries/warehouse-inventory-management-software/,3.36,167,2099,3,64,89,0,14,0,1605,1085,0,200,0,636
https://www.sortly.com/barcode-inventory-system/,2.7,291,1691,0,109,154,1,33,0,638,1402,0,433,0,165
https://www.sortly.com/glossary/inventory-turnover/,1.78,248,1113,0,3,175,0,0,0,2,1110,0,0,0,-250
https://www.sortly.com/solutions/asset-tracking-software/,1.78,264,1111,2,76,95,1,3,0,575,550,0,5,0,580
https://www.sortly.com/industries/medical-inventory-management-software/,1.7,125,1062,0,22,75,0,9,0,215,982,0,67,0,188
https://www.sortly.com/glossary/economic-order-quantity/,1.34,79,837,0,0,36,0,1,0,0,837,0,2,0,408
https://www.sortly.com/business-inventory-app/,1.13,403,711,0,53,154,8,24,0,162,589,1,80,0,-298
https://www.sortly.com/solutions/asset-tracking-software/equipment-tracking/,0.83,139,520,0,19,33,0,5,0,149,418,0,18,0,104
https://www.sortly.com/blog/what-are-the-4-types-of-inventory/,0.77,190,486,0,7,137,5,6,0,28,456,3,6,0,316
https://www.sortly.com/industries/construction-inventory-management-software/,0.75,54,473,0,16,19,0,0,0,255,306,0,0,0,70
https://www.sortly.com/industries/auto-inventory-management-software/,0.67,90,419,1,22,49,0,1,0,72,350,0,0,0,115
https://www.sortly.com/glossary/inventory/,0.64,138,404,0,1,77,1,2,0,0,375,0,0,0,-267
https://www.sortly.com/blog/what-is-the-difference-between-inventory-and-stock/,0.55,123,345,1,5,54,0,1,1,36,179,0,1,146,-15
https://www.sortly.com/solutions/home-inventory-software/,0.48,105,303,0,17,25,3,5,0,92,113,113,112,0,69
https://www.sortly.com/blog/dealer-vs-distributor/,0.45,199,287,0,26,45,2,0,0,213,66,2,0,0,-90
https://www.sortly.com/solutions/inventory-management-software/,0.37,703,235,8,19,72,5,25,0,27,173,2,26,0,-15
https://www.sortly.com/blog/what-is-a-good-inventory-turnover-ratio/,0.37,233,235,2,1,99,0,0,0,3,210,0,0,0,36
https://www.sortly.com/blog/how-to-calculate-cost-price/,0.36,277,227,0,0,89,6,8,1,0,216,1,13,0,23
https://www.sortly.com/pricing/,0.33,172,208,0,2,2,3,3,0,0,0,208,208,0,0
https://www.sortly.com/blog/can-i-use-qr-codes-for-inventory/,0.32,80,203,0,2,68,0,14,0,0,203,0,83,0,11
https://www.sortly.com/industries/jewelry-inventory-management-software/,0.31,37,199,0,15,24,0,1,0,80,164,0,9,0,-2
https://www.sortly.com/blog/barcodes-vs-qr-codes-for-inventory-management/,0.22,88,139,0,12,46,0,5,0,55,127,0,3,0,10
https://www.sortly.com/blog/guaranteed-maximum-price-in-construction/,0.22,40,139,0,1,14,0,6,0,0,136,0,0,0,-59
https://www.sortly.com/glossary/80-20-inventory-rule/,0.22,189,139,0,22,120,8,11,0,37,101,1,3,0,-11
